,m,theta,aH2O,M_aH2O,w
0,0.01,0.7835,0.9995766470641544,55.31495916549237,0.0979828993521444
1,0.02,0.7736,0.999164165264618,55.284837796556914,0.19577397368869173
2,0.03,0.7656,0.9987594645410701,55.25501331301506,0.2933737857739523
3,0.04,0.7584,0.9983618341408809,55.22544941244496,0.3907828961730497
4,0.05,0.7521,0.9979697016247067,55.196062108161954,0.4880018632626531
5,0.06,0.7464,0.9975825754084784,55.166827188207385,0.5850312432416461
6,0.07,0.7411,0.997200234210132,55.13773535740838,0.6818715901417343
7,0.08,0.7363,0.9968215951772087,55.10872965273168,0.7785234558379892
8,0.09,0.7318,0.9964468157621996,55.07982166329287,0.8749873900593332
9,0.1,0.7277,0.996074868894339,55.05095746538786,0.9712639403989609
10,0.2,0.698,0.99248370767136,54.763809847393105,1.9238422943230187
11,0.3,0.6819,0.9890049071427952,54.474918746450236,2.858269146125157
12,0.4,0.6739,0.9855372350510229,54.18345630983742,3.775058418162034
13,0.5,0.6713,0.9820233388602121,53.89086866784516,4.674704813307792
14,0.6,0.6728,0.978419381326538,53.59629066827594,5.557684705085926
15,0.7,0.6773,0.9747022151924589,53.294683744861835,6.42445697878446
16,0.8,0.6842,0.9708511954488005,52.98484431299707,7.275463826674847
17,0.9,0.693,0.9668539138027372,52.669878525454905,8.111131500230043
18,1.0,0.7033,0.9627034596594892,52.34820772886094,8.931871022030291
19,1.5,0.7701,0.9394787472270977,50.60530039570369,12.825048153264024
20,2.0,0.8498,0.9122375220247645,48.667895059304286,16.399004144937372
21,2.5,0.9337,0.8814786114502361,46.57497619055502,19.69145456845199
22,3.0,1.0178,0.8478758959634616,44.36137310180916,22.73439872295414
23,3.5,1.1,0.8121475447254205,42.07653763880111,25.55516306583194
24,4.0,1.1791,0.7749956690244139,39.759566538553216,28.177224135900182
25,4.5,1.2547,0.7370156319673207,37.4381645940473,30.62086348579514
26,5.0,1.3265,0.6987561434459703,35.14391372414982,32.90369331620141
27,5.5,1.3945,0.6606628440672059,32.9023801279303,35.04108164394133
28,6.0,1.4587,0.6231221892552369,30.73027220920576,37.046498715119036
29,6.5,1.5193,0.5864201919524796,28.642247378341825,38.931801172936886
30,7.0,1.5764,0.5508042665836274,26.647727510717246,40.707466649432305
31,7.5,1.6302,0.5164477317718135,24.750703357320457,42.38278858660659
32,8.0,1.681,0.48345494187657806,22.955983618723533,43.96603893687886
33,8.5,1.7288,0.451951472788911,21.266867412177202,45.46460475608635
34,9.0,1.7739,0.42196461064224183,19.68216713558812,46.88510344922827
35,9.5,1.8164,0.39353325220394914,18.19818736853724,48.23348046240961
36,10.0,1.8565,0.3666507844273688,16.811187613881522,49.515092463108154
37,10.5,1.8943,0.34131033005116257,15.519936767555972,50.73477846292016
38,11.0,1.93,0.31746892165232604,14.319724567693461,51.89692087380205
39,11.5,1.9638,0.29507194633390477,13.203541022557339,53.00549812174724
40,12.0,1.9956,0.2741098271198364,12.169623799642803,54.06413014918133
41,12.5,2.0258,0.2544745335843291,11.211157857764045,55.07611790272856
42,13.0,2.0542,0.23615896811767254,10.326514777076877,56.04447771389086
43,13.5,2.0811,0.21906513610516157,9.508717869942167,56.97197132698225
44,14.0,2.1066,0.20312844663354973,8.752869440946402,57.8611322039555
45,14.5,2.1306,0.18831296053603455,8.05640668087,58.714288633775304
46,15.0,2.1534,0.1745214634831648,7.41430572843431,59.533584090223926
47,15.5,2.1749,0.16171685319545737,6.823203570168635,60.32099521292646
48,16.0,2.1952,0.14983308906602846,6.278925320775933,61.07834772915511
49,16.5,2.2144,0.13880647363158966,5.778123602691275,61.80733058638924
50,17.0,2.2326,0.1285760476746612,5.317259797391988,62.50950852590012
51,17.5,2.2498,0.11909512713758409,4.893509951229257,63.18633329437221
52,18.0,2.266,0.11031807884876699,4.50422956555131,63.83915366262365
53,18.5,2.2813,0.10219036493218013,4.146494367713348,64.46922439692283
54,19.0,2.2957,0.09467067171834741,3.817894375081584,65.07771430846365
55,19.5,2.3093,0.08771000440908067,3.5158273867662175,65.66571348964932
56,20.0,2.3221,0.08127166151850164,3.2383931563060058,66.23423983144133
57,20.5,2.3342,0.07531223307769684,2.9834172883956085,66.78424490374822
58,21.0,2.3455,0.06980752287099304,2.749482396370446,67.31661927031737
59,21.5,2.3562,0.06471075752641675,2.5343526558676808,67.8321973005745
60,22.0,2.3661,0.06000848926610921,2.3371568053681866,68.33176153309742
61,22.5,2.3755,0.05565197602804563,2.1556512111795496,68.81604663872064
62,23.0,2.3842,0.05163043023925923,1.9891053691895781,69.28574302548331
63,23.5,2.3923,0.04791347220362097,1.836097563079292,69.74150012262257
64,24.0,2.3999,0.04447347690989028,1.695359765712933,70.18392937646247
65,24.5,2.4069,0.041296302649411795,1.5661486833149036,70.61360698726143
66,25.0,2.4134,0.038357504915318814,1.4473393007653912,71.03107641277819
67,25.5,2.4194,0.035639879354510594,1.3381039666474366,71.4368506614297
68,26.0,2.4249,0.0331273274997753,1.2376738268986602,71.83141439538666
69,26.5,2.43,0.03080039467380898,1.1451755812815823,72.21522586173435
70,27.0,2.4346,0.02864991395906197,1.0601402695075133,72.58871866787752
71,27.5,2.4387,0.02666276139868946,0.9819667386639277,72.95230341565075
72,28.0,2.4425,0.024819204512032966,0.9098258085460411,73.30636920708172
73,28.5,2.4458,0.023116169256586657,0.8435172390756331,73.6512850334161
74,29.0,2.4488,0.021536276556746545,0.7823258079520438,73.98740105782835
75,29.5,2.4513,0.020077108355072273,0.7260879799469417,74.31504980119207
76,30.0,2.4536,0.01872034534848546,0.674064623002525,74.63454723935095
